customer_tweet_id,customer_text,reply_text,suggested_intent,human_intent,suggestion_status,label_source
311635,"@AppleSupport I’ve already had someone from Apple try and help and nothings worked. It’s not a big deal, I’m just getting frustrated.","@190417 If you'd like to have us look into this further, connect with us in DM, we'll continue from there: https://t.co/GDrqU22YpT",general_inquiry,general_inquiry,review_required,human_review_required
2950942,"@115858 @AppleSupport.  Hi, today in my e mail I can see a perchase order false. Dominium Appleid. https://t.co/wfV87axw8f","@814885 Thanks for reaching out. This would appear to be a phishing email and not from us. We would advise not clicking on any links or attachments in the email. For ways to report, please see: https://t.co/LNMCdqt6fD",apple_id_account,apple_id_account,review_required,human_review_required
2949575,"@AppleSupport hello, I've received an email which I think is spam, do you have a department that deals with phishing emails? I can't see any details in my Apple account relating to the subscription I've apparently taken out - I've not clicked anything in the email.","@814566 Thanks for reaching out. For help identifying and reporting a phishing email, check out the following link: https://t.co/LNMCdqt6fD Please DM us if this does not help: https://t.co/GDrqU22YpT",apple_id_account,general_inquiry,review_required,human_review_required
321799,"@AppleSupport well, now i’m having problems with battery life and charging. What is going on with the battery and the iOS11(xxxxx) updates?",@192661 We'd like to help. Please DM us your Apple device and we'll get started. https://t.co/GDrqU22YpT,battery_power_issue,battery_power_issue,review_required,human_review_required
588190,"@AppleSupport 
امرضتونا بتحديثاتكم لاعاد تحدثون https://t.co/YCNrNZy2ns",@258999 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_inquiry,general_inquiry,review_required,human_review_required
1920222,"How I furiously HATE @115858 and their namesake of an operating system.

The error I get when I choose to open an xls file with LibreOffice.. https://t.co/LFqs2OPche","@571653 Have you checked your security settings and tried changing those? If not, reach out to us via DM and we can take a look. https://t.co/GDrqU22YpT",general_inquiry,general_inquiry,review_required,human_review_required
1224422,@AppleSupport why will my phone not connect to find my iPhone or NFL fantasy? But I can text? And twitter? Why does IPhone 7 suck when 8 is?,@407245 Let's look into your connection issues. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT,general_inquiry,general_inquiry,review_required,human_review_required
1163200,"Hey, @AppleSupport wondering why  Music is going crazy? Is there anything on the server or what? I’m about to lose my mind!","@237055 We're here to help you experience the best music. What's going on? Meet up with us in DM to continue, please. https://t.co/GDrqU22YpT",general_inquiry,general_inquiry,review_required,human_review_required
2255348,um @AppleSupport @115948 can someone explain why an album I preordered and purchased is no longer in my library and doesn’t let me play anything other than previews,"@656907 We can help. Open the iTunes Store app and then hit the More icon (...). From there, tap Purchased and Music. and then Tap ""Not on This [device]."" Do you see the album there? 

Click here for a walkthrough: https://t.co/I39AyMJNgb",general_inquiry,app_store_purchase,review_required,human_review_required
1159176,@AppleSupport Yes..still battery runs out too quickly,@392687 Got it. Go ahead and send us a DM of your Settings &gt; Battery &gt; Battery Usage and we can continue to work together. https://t.co/GDrqU22YpT,battery_power_issue,battery_power_issue,review_required,human_review_required
2128107,@AppleSupport is this a legitimate email or a scam? https://t.co/n8O8xTpOoq,@626512 We'd like to help. This email does not appear to be legitimate. You can find more info about this here: https://t.co/LNMCdqt6fD,general_inquiry,general_inquiry,review_required,human_review_required
1521210,@AppleSupport iPhone 6s has no cellular! Antenna issue? Any options other than replacing? Phone is only a year old!,@472843 Hey. We're here to help you. Have you checked out this article: https://t.co/5KootZbxj1 Let us know if this helps.,connectivity_issue,connectivity_issue,review_required,human_review_required
1524166,@AppleSupport why exactly is my phone replacing the letter I with weird symbol things ?,"@444375 We'd be happy to check it out. Tell us in DM if your device is updated to iOS 11.1, please. https://t.co/GDrqU22YpT",general_inquiry,ios_software_issue,review_required,human_review_required
2013397,IS ANYONE GONNA TALK ABOUT WHY “I️” KEEPS POPPING UP IN THE KEYBOARD. @115858 FIX THIS ITS DRIVING ME CRAZY,@595347 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,general_inquiry,ios_software_issue,review_required,human_review_required
1508032,@115858 I’m gonna need you to figure out this bug with the letter I️,"@470014 Hey, we can offer some assistance with that. DM us the iOS version and we'll take it from there. https://t.co/GDrqU22YpT",ios_software_issue,ios_software_issue,review_required,human_review_required
2868520,"Every fucking update #Apple does to @118721, fucks my shit up when I download new music!!! #STOP @AppleSupport",@796624 This is not the experience we want you to have. We'd like to help. What specific issues are you having? Are you an Apple Music subscriber? DM us here: https://t.co/GDrqU22YpT,ios_software_issue,ios_software_issue,review_required,human_review_required
1741627,@AppleSupport when y’all gonna fix this “I️” shit?!?!,@525422 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry,general_inquiry,review_required,human_review_required
2076062,@AppleSupport my phone is a mess since the iOS 11 updates. 🙄The “bug fixes” have fixed very little.,@613994 Thanks for reaching out. We want you to be able to enjoy using your device and are here to help. Meet us in DM and we will proceed. https://t.co/GDrqU22YpT,ios_software_issue,ios_software_issue,review_required,human_review_required
1277225,@AppleSupport It’s telling people they don’t have an acct,@418926 Thank you. We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,general_inquiry,general_inquiry,review_required,human_review_required
617159,@AppleSupport As soon as I open the app it immediately black screens and then returns to the home screen.,@266424 Got it! You've done some great troubleshooting thus far. Let's follow up in DM and take a closer look. https://t.co/GDrqU22YpT,device_hardware_issue,general_inquiry,review_required,human_review_required
1632292,Really frustrated with @115858 and this bug when you type “i” correcting to I️.  FIX IT PLEASE @AppleSupport,@499484 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.,ios_software_issue,ios_software_issue,review_required,human_review_required
1687684,"Dear @115858 

This phone was too expensive for the damn “i” to be broken. The fuck 😒","@512497 Hi. We are here to help. Check out this link which should help:

https://t.co/xU1AGHStV6",device_hardware_issue,general_inquiry,review_required,human_review_required
1385522,"@AppleSupport I have downloaded new software update. Just opened snapchat and my iPhone jumped from 73% to 20% :( as soon as I plugged it in to charge, it jumped straight up again :/","@442420 Let's help get this sorted. Since updating, have you had a chance to restart the device and update your apps?  If not, please do so and let us know if the behavior occurs again.",battery_power_issue,battery_power_issue,review_required,human_review_required
1155264,"@AppleSupport Yes it is. Every time I try to start a new route it doesn’t go through the route calculation, ending with a request timeout",@391767 How long has this been happening? Do you still experience this after restarting the device?,general_inquiry,general_inquiry,review_required,human_review_required
