customer_tweet_id,groundedness,helpfulness,hallucination,reason,judge_source
2031565,4,2,4,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
1339673,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
1575030,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2136653,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2774298,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
39686,4,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2510983,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
1921884,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2304557,4,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
1397341,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2282184,5,4,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
1410770,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2296308,5,4,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
1552181,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
977654,5,4,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
755743,5,3,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
1584602,5,4,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
486291,4,2,4,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2700945,4,2,4,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
2964189,5,4,5,"Deterministic rubric fallback: checked whether the reply reused retrieved evidence, whether top similarity was strong enough to be useful, and whether unsupported risky claims appeared.",local_rubric_fallback
